kira,1=Kira(<ゝω·)~☆
trion,1=缇莉昂兰妮斯特
a,3=工
aa,3=工
aaa,3=工
aaaa,3=㠭
aaaa,3=工
aaab,3=㐂
aaau,3=菚
aad,3=匞
aad,3=匿
aade,3=蘛
aadi,3=藄
aadj,3=䘌
aadk,3=匿
aadn,3=慝
aadn,3=葚
aadr,3=䔮
aadr,3=茙
aadw,3=萁
aaff,3=苷
aafy,3=甙
aagf,3=䒰
aah,3=芽
aahb,3=䓉
aahc,3=菣
aahh,3=茞
aahh,3=茝
aahl,3=藍
aahm,3=藖
aaht,3=芽
aahw,3=虦
aahy,3=蕥
aajh,3=剗
aak,3=戒
aakg,3=蓳
aakk,3=蓲
aakm,3=䕚
aako,3=䖄
aako,3=䕿
aako,3=蘜
aaky,3=䕼
aalf,3=盞
aamf,3=蘳
aamg,3=蘣
aamu,3=䔈
aanf,3=苣
aans,3=葉
aaqb,3=苉
aaqh,3=蔕
aatn,3=蘙
aatq,3=荛
aau,3=戔
aavr,3=苆
aawe,3=匶
aawv,3=蒆
aaww,3=莁
aawy,3=茿
aay,3=式
aayi,3=式
aayu,3=芅
ab,3=节
abci,3=藂
abcl,3=萾
abcu,3=菆
abde,3=䔺
abe,3=荫
abef,3=荫
aben,3=蘟
abf,3=芓
abf,3=茸
abft,3=䔖
abgi,3=蔯
abh,3=卭
abh,3=邛
abhg,3=匩
abi,3=蒸
abib,3=菡
abig,3=䒱
abil,3=䕄
abio,3=蒸
abiu,3=荪
abj,3=节
abkg,3=䓧
abkm,3=藬
abkx,3=莻
ablf,3=䓝
abm,3=茁
abmc,3=䔴
abmf,3=䔜
abmj,3=茁
abnb,3=芤
abr,3=艿
abrj,3=㧭
abry,3=菰
abtg,3=蕯
abti,3=蓀
abtn,3=㲨
abtp,3=䕖
abu,3=萨
abue,3=䔹
abug,3=薩
abuk,3=䔒
abut,3=萨
abuy,3=蘵
abv,3=匜
abwc,3=䕃
abwc,3=蔭
abws,3=蒢
abyu,3=芨
ac,3=芭
aca,3=茎
acaf,3=茎
acaj,3=䒪
acak,3=匥
acb,3=芭
acce,3=蔘
acep,3=蓪
acgd,3=㦯
ack,3=苔
ackf,3=苔
ackp,3=䕂
acks,3=葈
aclf,3=䓿
acn,3=茅
acne,3=蓩
acnh,3=芧
acnm,3=蕷
acnm,3=蓣
acno,3=鶜
acns,3=葇
acnt,3=䓮
acnt,3=茅
acou,3=䔍
acwt,3=荾
acyu,3=芆
ad,3=其
aday,3=蔵
adbb,3=苊
adcg,3=蕼
adcu,3=苃
adcw,3=蕻
adcy,3=茇
addd,3=藞
ade,3=戎
adef,3=䒴
adef,3=葫
ader,3=苈
adeu,3=萇
adf,3=苦
adfa,3=莾
adfe,3=䔚
adfe,3=莀
adff,3=蓐
adfi,3=萘
adfn,3=荂
adgn,3=䓐
adgy,3=葴
adgy,3=葳
adh,3=荐
adhb,3=荐
adhd,3=葜
adhf,3=茬
adhg,3=苤
adhj,3=䒠
adhk,3=䓏
adhu,3=芣
adhv,3=蔧
adhy,3=蒧
adi,3=藉
adij,3=藉
adiu,3=䒹
adiy,3=藕
adjn,3=菴
adk,3=若
adkb,3=鄀
adkf,3=若
adkj,3=蠚
adkk,3=䖃
adkk,3=匲
adkn,3=惹
adkp,3=逽
adm,3=项
admd,3=䓴
admj,3=荋
admy,3=項
admy,3=蕆
admy,3=蒇
admy,3=项
adn,3=藏
adny,3=荿
adny,3=藏
adpu,3=荙
adri,3=蒝
adrr,3=䔪
adsk,3=䓫
adtf,3=䓓
adth,3=藶
adu,3=芖
adua,3=䕢
aduw,3=蕨
adw,3=基
adwa,3=戡
adwc,3=㪛
adwd,3=碁
adwe,3=朞
adwe,3=勘
adwe,3=期
adwf,3=㪸
adwf,3=卙
adwf,3=斟
adwf,3=基
adwg,3=菶
adwi,3=綦
adwj,3=㫷
adwj,3=蟴
adwj,3=蜝
adwj,3=萶
adwj,3=剘
adwm,3=䫖
adwm,3=䫏
adwn,3=㥦
adwn,3=㐞
adwn,3=惎
adwn,3=甚
adwo,3=䳢
adwq,3=㽎
adwq,3=夦
adwr,3=斯
adws,3=棊
adwt,3=尠
adwt,3=蓁
adwu,3=其
adww,3=㰼
adww,3=莢
adww,3=歁
adww,3=匧
adww,3=欺
adwy,3=㽄
adwy,3=諅
adx,3=茂
adxy,3=茏
adxy,3=茂
ady,3=莽
adya,3=莽
adyc,3=䒎
adyi,3=弎
adyl,3=葢
adyy,3=䔸
adyy,3=荗
ae,3=功
aebc,3=菔
aebf,3=莩
aecb,3=萉
aecn,3=薍
aedm,3=蕦
aee,3=荔
aeee,3=荔
aeef,3=蓞
aeef,3=萠
aeej,3=蒯
aeer,3=荕
aefw,3=巭
aegc,3=萲
aege,3=莇
aegf,3=苴
aegw,3=藇
aegy,3=䔕
aehc,3=蓃
aehj,3=苚
aejf,3=薶
aejn,3=﨟
aek,3=茄
